# commands.dat
#
# Description of all mixal commands (from Donald Knuth)
#
#	C	OP	F	t	description
#
	41	J1Z	1	1	jump if rI1 is zero
	41	J1P	2	1	jump if rI1 is positive
	41	J1NN	3	1	jump if rI1 is not negative
	41	J1NZ	4	1	jump if rI1 is not zero
	41	JANP	5	1	jump if rI1 is not positive
	42	J2N	0	1	jump if rI2 is negative
	42	J2Z	1	1	jump if rI2 is zero
	42	J2P	2	1	jump if rI2 is positive
	42	J2NN	3	1	jump if rI2 is not negative
	42	J2NZ	4	1	jump if rI2 is not zero
	42	J2NP	5	1	jump if rI2 is not positive
	43	J3N	0	1	jump if rI3 is negative
	43	J3Z	1	1	jump if rI3 is zero
	43	J3P	2	1	jump if rI3 is positive
	43	J3NN	3	1	jump if rI3 is not negative
	43	J3NZ	4	1	jump if rI3 is not zero
	43	J3NP	5	1	jump if rI3 is not positive
	44	J4N	0	1	jump if rI4 is negative
	44	J4Z	1	1	jump if rI4 is zero
	44	J4P	2	1	jump if rI4 is positive
	44	J4NN	3	1	jump if rI4 is not negative
	44	J4NZ	4	1	jump if rI4 is not zero
	44	J4NP	5	1	jump if rI4 is not positive
	45	J5N	0	1	jump if rI5 is negative
	45	J5Z	1	1	jump if rI5 is zero
	45	J5P	2	1	jump if rI5 is positive
	45	J5NN	3	1	jump if rI5 is not negative
	45	J5NZ	4	1	jump if rI5 is not zero
	45	J5NP	5	1	jump if rI5 is not positive
	46	J6N	0	1	jump if rI6 is negative
	46	J6Z	1	1	jump if rI6 is zero
	46	J6P	2	1	jump if rI6 is positive
	46	J6NN	3	1	jump if rI6 is not negative
	46	J6NZ	4	1	jump if rI6 is not zero
	46	J6NP	5	1	jump if rI6 is not positive
	47	JXN	0	1	jump if rX is negative
	47	JXZ	1	1	jump if rX is zero
	47	JXP	2	1	jump if rX is positive
	47	JXNN	3	1	jump if rX is not negative
	47	JXNZ	4	1	jump if rX is not zero
	47	JXNP	5	1	jump if rX is not positive
	48	INCA	0	1	rA <- rA + M
	48	DECA	1	1	rA <- rA - M
	48	ENTA	2	1	rA <- M
	48	ENNA	3	1	rA <- -M
	49	INC1	0	1	rI1 <- rI1 + M
	49	DEC1	1	1	rI1 <- rI1 - M
	49	ENT1	2	1	rI1 <- M
	49	ENN1	3	1	rI1 <- -M
	50	INC2	0	1	rI2 <- rI2 + M
	50	DEC2	1	1	rI2 <- rI2 - M
	50	ENT2	2	1	rI2 <- M
	50	ENN2	3	1	rI2 <- -M
	51	INC3	0	1	rI3 <- rI3 + M
	51	DEC3	1	1	rI3 <- rI3 - M
	51	ENT3	2	1	rI3 <- M
	51	ENN3	3	1	rI3 <- -M
	52	INC4	0	1	rI4 <- rI4 + M
	52	DEC4	1	1	rI4 <- rI4 - M
	52	ENT4	2	1	rI4 <- M
	52	ENN4	3	1	rI4 <- -M
	53	INC5	0	1	rI5 <- rI5 + M
	53	DEC5	1	1	rI5 <- rI5 - M
	53	ENT5	2	1	rI5 <- M
	53	ENN5	3	1	rI5 <- -M
	54	INC6	0	1	rI6 <- rI6 + M
	54	DEC6	1	1	rI6 <- rI6 - M
	54	ENT6	2	1	rI6 <- M
	54	ENN6	3	1	rI6 <- -M
	55	INCX	0	1	rX <- rX + M
	55	DECX	1	1	rX <- rX - M
	55	ENTX	2	1	rX <- M
	55	ENNX	3	1	rX <- -M
	56	CMPA	5	2	Cl <- rA ? V
	57	CMP1	5	2	Cl <- rI1 ? V
	58	CMP2	5	2	Cl <- rI2 ? V
	59	CMP3	5	2	Cl <- rI3 ? V
	60	CMP4	5	2	Cl <- rI4 ? V
	61	CMP5	5	2	Cl <- rI5 ? V
	62	CMP6	5	2	Cl <- rI6 ? V
	63	CMPX	5	2	Cl <- rX ? V
